seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
50,11,14,1,4066,2761,1345,2213,2530,1342,
63,11,16,1,2293,2141,1878,1778,1108,891,
21,11,18,1,2230,3490,1288,2146,1418,1443,
10,11,20,1,4361,2044,1554,1590,1340,2094,
57,11,22,1,1567,1283,1038,1252,957,1414,
65,11,24,1,2224,2416,936,895,493,1713,
56,11,26,1,3169,1910,1461,1642,913,1260,
47,11,28,1,3166,1815,2482,2801,1287,1797,
60,11,30,1,3110,3140,4949,2871,2180,1036,
17,11,32,1,2303,2442,2429,2288,1348,877,
13,11,1,2,3815,3886,1655,1584,1399,923,
11,11,3,2,5587,1354,1134,3150,1487,2670,
19,11,5,2,2621,3006,2088,1277,1388,1281,
36,11,7,2,2834,1810,4523,2995,1147,1189,
43,11,9,2,2789,3934,1737,682,1375,2176,
52,11,11,2,2055,1248,1198,530,1584,944,
68,11,13,2,2063,2356,1524,914,2933,808,
53,11,15,2,1618,1640,1167,698,1681,897,
22,11,17,2,2146,4241,2305,1658,871,1423,
59,11,19,2,3233,2062,3758,1995,3333,2788,
23,11,21,2,2713,2105,1317,1681,1544,1931,
18,11,23,2,2350,3642,3494,3529,1534,1122,
49,11,25,2,3252,2206,6103,1529,769,1021,
33,11,27,2,4435,1806,2458,853,1044,1894,
24,11,29,2,3417,2242,2610,2674,1764,1313,
30,11,31,2,3101,8868,3192,3891,1042,1742,
62,12,2,1,2235,1927,1832,1385,1215,1681,
9,12,4,1,3219,2320,1842,1405,1336,2560,
18,12,6,1,2532,1730,1066,1391,1714,1689,
53,12,8,1,2293,1794,1514,810,1838,3968,
32,12,10,1,1142,1196,702,1352,1214,983,
69,12,12,1,2807,3309,2360,1958,1130,744,
11,12,14,1,2063,2017,1117,848,1369,1802,
14,12,16,1,4347,1979,2156,1769,837,1617,
68,12,18,1,1400,1829,2164,1028,1379,1210,
70,12,20,1,2487,2136,1225,1528,1163,2158,
51,12,22,1,1504,2388,2127,1590,1744,1068,
26,12,24,1,1590,1719,960,1112,701,1871,
42,12,26,1,3622,2313,530,2047,731,1101,
39,12,28,1,1952,1080,1245,921,605,1956,
40,12,30,1,2225,3128,2270,982,895,1687,
41,12,32,1,1816,2208,1178,1100,899,667,432
24,12,1,2,2742,1774,1061,2091,249,2643,179
28,12,3,2,3560,1870,1228,1542,1363,1453,
30,12,5,2,5417,2314,852,1854,1685,1327,
36,12,7,2,1564,1146,1793,1415,838,2126,
60,12,9,2,1180,1856,1380,909,993,856,
7,12,11,2,3222,2497,2322,681,1537,1619,
38,12,13,2,1943,921,2307,1570,1243,1026,
64,12,15,2,3676,1121,928,1221,1341,1360,
20,12,17,2,3589,2105,2148,1816,1141,1863,
49,12,19,2,4249,3177,2177,683,1390,1592,
6,12,21,2,2586,1756,1204,1265,1182,1839,
48,12,23,2,2350,1988,1527,834,917,1636,
8,12,25,2,1974,1933,1742,1973,754,2251,
67,12,27,2,1501,1899,2488,657,812,1413,
23,12,29,2,3838,1992,2026,1959,1171,3077,502
55,12,31,2,1406,2245,1756,1981,1703,1174,
56,13,2,1,3313,4271,2444,1382,1763,1039,
53,13,4,1,2974,3424,2395,1531,1798,1320,
43,13,6,1,2004,1587,1432,2243,1589,1950,
48,13,8,1,1516,1479,1292,1060,1467,2368,
45,13,10,1,2092,1369,1391,1664,2102,1998,
29,13,12,1,2713,3163,2421,1204,1502,1051,
35,13,14,1,2508,2147,4667,1881,1492,891,
17,13,16,1,2792,3800,2353,1437,937,934,
51,13,18,1,1477,2408,1864,1848,1064,2542,
55,13,20,1,3754,2945,2036,1723,778,1367,
37,13,22,1,3094,2722,2873,3240,2504,1406,
7,13,24,1,2477,1220,1111,1385,906,1750,
8,13,26,1,4051,1894,1832,1218,1659,882,
15,13,28,1,3368,1160,1874,1691,1300,2395,
26,13,30,1,2523,3261,1778,1417,1475,1327,
28,13,32,1,2448,1230,2525,1715,1050,613,
64,13,1,2,3798,3083,2154,2793,2782,1338,
22,13,3,2,3425,2347,3129,1968,1036,1886,
60,13,5,2,3549,1788,1283,1321,668,1450,
30,13,7,2,3251,2044,3400,2121,2078,1178,
18,13,9,2,2566,2886,2508,2527,1639,1386,
58,13,11,2,1378,2383,1588,1835,912,1645,
