seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
9,7,20,2,2443,3803,2836,1502,1420,2493,
30,7,22,2,1429,1759,2117,2041,1277,1553,
35,7,24,2,722,3189,545,1981,599,1417,
23,7,26,2,1841,1826,1642,2177,1821,2062,
5,7,28,2,3423,2226,1730,2210,1905,2855,
20,7,30,2,696,2738,2580,2535,1285,1260,
29,7,32,2,698,2731,1608,1021,1307,730,
59,8,1,1,1283,7954,2835,1633,1757,2266,231
57,8,3,1,2650,3220,2235,1014,859,3441,
43,8,5,1,4168,1593,2046,2114,1432,1514,
8,8,7,1,4327,3195,2167,1357,1420,1229,
55,8,9,1,2256,4895,1405,938,530,2028,368
16,8,11,1,5749,1905,1581,990,1751,1437,
51,8,13,1,2678,2485,1565,1145,928,2360,617
56,8,15,1,424,3498,1219,1397,481,2625,
65,8,17,1,2757,4953,2459,1269,1486,2007,
21,8,19,1,3468,2011,2302,1187,1716,1870,
64,8,21,1,812,1833,2951,1291,931,3221,
41,8,23,1,2771,1105,2701,1741,1541,2035,
6,8,25,1,2717,2814,3052,2689,3623,1914,
12,8,27,1,6176,1764,4495,1883,1523,2934,
30,8,29,1,5306,1949,1531,1518,1480,1465,
50,8,31,1,2114,9947,1150,2539,2405,2141,287
39,8,2,2,5398,1371,1699,1462,1886,893,142
40,8,4,2,7466,2606,1566,968,1519,1342,
48,8,6,2,4080,4549,2231,1510,2594,1019,
24,8,8,2,6451,1647,1272,2209,2174,1871,
20,8,10,2,2725,1996,1149,1271,1552,738,
11,8,12,2,5007,3142,1056,1374,1534,1057,
58,8,14,2,2209,1853,2888,1658,1592,2591,1348
18,8,16,2,6289,2760,2649,1728,1732,1402,
13,8,18,2,5817,3081,2914,1683,1846,1900,
5,8,20,2,4445,1915,3228,2581,1170,1403,
33,8,22,2,5188,2564,1918,1426,1227,2483,
26,8,24,2,3631,1397,766,1929,914,1977,
49,8,26,2,3159,1703,1693,2890,2138,1050,
28,8,28,2,6743,2871,3483,1457,1744,2853,
53,8,30,2,2872,4332,1336,1893,1027,4105,
10,8,32,2,5893,2260,1765,948,803,1064,
15,9,1,1,4023,5563,1940,1572,1945,1410,
40,9,3,1,1778,2760,3848,1844,1479,2703,
34,9,5,1,2074,3071,1293,1646,2060,2343,
7,9,7,1,1937,1459,2792,1814,2067,2585,
60,9,9,1,3202,2563,2131,1322,2776,1532,146
