seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
5,7,28,2,0,0,1,1,0,1,
20,7,30,2,0,1,1,1,0,1,
29,7,32,2,0,1,1,1,1,1,
59,8,1,1,0,0,,1,0,0,
57,8,3,1,0,1,1,0,0,0,
43,8,5,1,0,1,0,1,1,1,
8,8,7,1,0,1,0,0,0,0,
55,8,9,1,0,1,1,0,1,,1
16,8,11,1,0,0,1,1,1,1,
51,8,13,1,0,1,1,0,0,0,
56,8,15,1,0,0,0,1,1,1,
65,8,17,1,0,1,1,0,1,1,
21,8,19,1,0,1,0,,1,0,
64,8,21,1,0,1,1,1,0,1,
41,8,23,1,0,0,1,0,0,0,
6,8,25,1,0,0,0,0,,1,
12,8,27,1,0,1,0,1,0,1,
30,8,29,1,0,0,1,1,0,1,
50,8,31,1,0,1,0,0,0,1,1
39,8,2,2,0,0,0,0,,,
40,8,4,2,0,1,1,0,0,1,
48,8,6,2,0,1,0,0,1,0,
24,8,8,2,0,0,0,1,1,,
20,8,10,2,0,1,0,0,0,1,
11,8,12,2,0,1,0,0,1,1,
58,8,14,2,0,0,1,1,1,,1
18,8,16,2,0,0,0,0,1,1,
13,8,18,2,0,1,1,1,,1,
5,8,20,2,0,0,0,0,,1,
33,8,22,2,0,1,0,0,,1,
26,8,24,2,0,0,0,0,,0,
49,8,26,2,0,1,1,1,1,1,
28,8,28,2,0,1,1,0,1,1,
53,8,30,2,0,1,0,1,0,1,
10,8,32,2,,1,1,0,,1,
15,9,1,1,0,0,1,0,,1,
40,9,3,1,0,1,1,0,,1,
34,9,5,1,0,1,,1,0,1,
7,9,7,1,0,0,0,0,0,0,
60,9,9,1,0,0,1,0,0,,1
31,9,11,1,0,1,1,1,0,0,
64,9,13,1,0,1,0,0,,1,
61,9,15,1,0,0,0,0,0,1,
51,9,17,1,0,0,0,0,0,0,
20,9,19,1,0,0,0,0,1,1,
14,9,21,1,0,0,0,0,0,0,1
59,9,23,1,0,,1,0,0,1,
32,9,25,1,0,1,1,0,1,1,
56,9,27,1,0,0,0,,1,1,
46,9,29,1,0,0,0,0,1,0,
10,9,31,1,0,0,0,0,0,1,
63,9,2,2,0,0,0,0,1,1,
24,9,4,2,0,0,0,,1,0,1
26,9,6,2,0,,1,1,1,1,
43,9,8,2,0,0,0,0,0,,
33,9,10,2,0,0,,0,1,1,
21,9,12,2,0,1,,1,,1,
66,9,14,2,0,1,1,0,0,,1
