seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
54,6,23,2,609,439,271,603,176,399,
12,6,25,2,1815,1694,,354,374,167,
61,6,27,2,1582,1217,118,1708,1081,591,
7,6,29,2,4459,2542,,211,,187,
6,6,31,2,3531,155,1898,1921,164,3412,
12,7,2,1,2221,151,1959,1155,1504,989,
21,7,4,1,1775,3093,1657,,144,1211,
6,7,6,1,2308,2914,298,174,174,1788,
17,7,8,1,1333,1388,146,185,1252,1606,
49,7,10,1,1943,355,155,1299,1005,650,
10,7,12,1,1883,2236,,139,165,116,
19,7,14,1,2231,1266,1744,822,1596,1434,
31,7,16,1,2387,2661,3013,2114,914,1417,
28,7,18,1,2324,,111,150,331,1262,
16,7,20,1,2907,123,124,2841,970,1114,
27,7,22,1,1599,1861,428,144,1589,1575,
20,7,24,1,2151,1589,1267,1004,,391,
60,7,26,1,2285,1905,1406,963,876,1042,
48,7,28,1,2323,2186,4312,1484,156,941,
52,7,30,1,4541,273,1455,2244,1140,724,
32,7,32,1,1549,1757,1434,1370,820,590,
43,7,1,2,1624,2725,1795,1342,,104,
35,7,3,2,2042,1606,1583,1844,,120,
46,7,5,2,1971,1238,2167,1507,947,1128,
29,7,7,2,2228,1336,,152,1186,1268,
23,7,9,2,2004,218,135,992,256,143,
45,7,11,2,1630,1066,191,140,231,105,
37,7,13,2,809,303,2085,2426,145,201,
26,7,15,2,1659,978,109,787,225,126,
58,7,17,2,3358,3361,1531,1654,1872,1491,
56,7,19,2,2115,,119,1125,1296,1459,
42,7,21,2,2895,1408,1174,1492,,83,
59,7,23,2,2209,1705,1556,1216,1230,598,
40,7,25,2,1630,1494,1256,1956,953,898,
11,7,27,2,3104,1968,1921,181,442,562,
65,7,29,2,2201,,112,1200,1369,1649,
57,7,31,2,2343,1839,1718,2444,224,125,
57,8,1,1,1058,4402,1179,4716,,441,
46,8,3,1,3281,2180,2428,267,,96,
10,8,5,1,2680,1012,557,282,2239,1038,
18,8,7,1,1690,221,229,1930,1217,1724,
8,8,9,1,1618,2101,2131,1031,164,214,
20,8,11,1,2540,1662,470,211,181,222,
49,8,13,1,4318,106,2475,4784,,136,
7,8,15,1,1823,2007,317,359,112,200,
14,8,17,1,2265,1542,257,1194,1331,2780,
12,8,19,1,1498,584,4109,1009,1357,3541,
15,8,21,1,3322,,296,2911,,213,
50,8,23,1,2335,1829,2251,1133,1096,1366,
48,8,25,1,2766,2188,1360,1399,854,1259,
63,8,27,1,2360,619,291,188,214,172,
13,8,29,1,2282,472,3072,1664,218,1050,
39,8,31,1,801,512,2049,1010,1477,1412,
25,8,2,2,760,1807,698,3300,1456,243,
23,8,4,2,878,3752,1107,720,1764,397,
66,8,6,2,473,360,254,121,302,142,
32,8,8,2,1431,3154,1199,1258,1287,2294,
56,8,10,2,1545,2288,2152,1640,1583,657,
51,8,12,2,1705,2509,2287,1673,,636,
31,8,14,2,2453,1757,205,897,160,941,
67,8,16,2,1599,354,1322,149,854,743,
22,8,18,2,2232,2861,713,140,1772,1241,
42,8,20,2,1202,332,201,1526,,235,
52,8,22,2,1861,1896,185,305,1147,131,
43,8,24,2,6137,1899,2714,1247,,186,
65,8,26,2,2087,2610,2094,1317,2365,1075,
54,8,28,2,3266,1922,1568,988,135,714,
41,8,30,2,3926,2592,2577,3014,2030,1602,
53,8,32,2,1843,1936,261,274,1863,432,
20,9,2,1,966,1063,230,342,327,137,
6,9,4,1,2752,1537,168,1451,287,1502,
14,9,6,1,3829,1099,473,623,219,91,
50,9,8,1,1331,1426,650,138,165,680,
9,9,10,1,713,166,333,419,160,177,
39,9,12,1,1265,836,277,177,146,179,
56,9,14,1,1937,322,417,705,234,,159
45,9,16,1,1922,105,234,580,1163,197,
11,9,18,1,2676,224,472,186,447,2196,
42,9,20,1,1592,556,195,282,483,319,
27,9,22,1,1911,138,471,815,512,752,
36,9,24,1,2069,3383,1111,192,282,476,
32,9,26,1,1711,161,359,295,315,272,
33,9,28,1,3042,2377,3394,1343,349,83,
30,9,30,1,3478,,166,498,143,1576,
35,9,32,1,1534,2745,1625,308,325,1062,
57,9,1,2,988,163,162,1548,,270,
28,9,3,2,953,460,104,161,114,881,
64,9,5,2,794,919,232,811,156,223,
18,9,7,2,1575,179,1560,1258,1678,2535,
48,9,9,2,1986,3522,422,565,168,207,
44,9,11,2,,272,509,239,170,367,
12,9,13,2,404,1927,150,260,171,186,
47,9,15,2,502,917,168,337,418,175,
59,9,17,2,2628,2885,,186,333,215,
34,9,19,2,2170,3501,245,1122,1353,1272,
17,9,21,2,3007,,166,421,355,,
46,9,23,2,3176,436,176,656,391,,182
43,9,25,2,845,2695,201,197,209,190,
62,9,27,2,482,534,796,171,258,342,
52,9,29,2,5337,428,175,122,344,1614,
16,9,31,2,2368,142,184,269,1439,1662,
62,10,2,1,2452,2535,2440,2298,,156,
53,10,4,1,1992,711,160,1410,225,107,
20,10,6,1,1527,1849,817,137,1963,1857,
24,10,8,1,1337,158,2159,1029,85,,
56,10,10,1,1543,2081,421,1639,175,1138,
17,10,12,1,1651,3538,3201,1947,,131,
15,10,14,1,,113,2003,866,123,910,
18,10,16,1,2435,1844,1056,1058,1624,911,
10,10,18,1,2584,1830,1631,177,1107,1587,
40,10,20,1,2594,2493,2854,2310,1057,1580,
33,10,22,1,2033,1710,449,141,1691,1719,
9,10,24,1,2279,2422,1234,1323,,416,
31,10,26,1,2759,1752,1565,,185,1573,
38,10,28,1,5664,2052,2704,2060,134,328,
32,10,30,1,2677,2342,2177,2872,1450,2011,
64,10,32,1,2246,3219,317,110,192,1566,
5,10,1,2,2614,2276,,145,,170,
36,10,3,2,1542,148,1835,2075,,114,
44,10,5,2,2049,2032,2861,2644,2905,1696,
47,10,7,2,2538,1403,125,2251,1874,1434,
11,10,9,2,1924,2127,1747,473,,241,
8,10,11,2,1743,824,154,1581,193,87,
34,10,13,2,2895,1263,277,189,,146,
66,10,15,2,1716,1746,264,1396,152,1387,
29,10,17,2,1752,1785,353,121,163,2255,
39,10,19,2,1718,181,2741,1437,1706,2389,
16,10,21,2,98,138,114,2627,1994,1971,
27,10,23,2,1678,1871,,127,1146,166,
58,10,25,2,2620,2232,2288,1725,,183,
65,10,27,2,1585,322,276,1768,465,176,
7,10,29,2,3260,2598,511,2155,231,1685,
23,10,31,2,1725,1716,1885,1913,1103,1763,
34,11,2,1,3053,2392,2005,2856,2256,1578,
26,11,4,1,3534,294,177,2714,347,1567,
54,11,6,1,1598,2224,2797,1956,821,190,
31,11,8,1,2769,2101,2750,1827,2585,634,
38,11,10,1,177,250,1283,1032,893,2170,
25,11,12,1,1225,347,1653,1215,,147,
50,11,14,1,245,270,1345,2022,255,1342,
63,11,16,1,2293,2141,1878,1778,1108,891,
21,11,18,1,1795,3490,1288,2146,1418,1443,
10,11,20,1,,315,1293,941,1340,2094,
57,11,22,1,1245,744,96,359,137,1414,
65,11,24,1,2224,2416,797,208,,502,
56,11,26,1,2681,1910,910,154,913,1260,
47,11,28,1,3166,1815,2482,2403,337,1797,
60,11,30,1,3110,3140,4949,2871,2180,1036,
17,11,32,1,2121,1769,1647,272,1348,877,
13,11,1,2,3335,3387,220,1584,1114,744,
11,11,3,2,5483,1354,1134,3025,,158,
19,11,5,2,2621,2664,2088,1277,1388,1281,
36,11,7,2,2347,1810,85,1799,102,1189,
43,11,9,2,2128,3485,374,531,217,2176,
52,11,11,2,1965,804,177,359,328,129,
68,11,13,2,1905,2356,1524,914,2933,808,
53,11,15,2,1618,1640,1167,368,160,218,
22,11,17,2,1975,3936,2305,1658,871,1423,
59,11,19,2,3233,2062,3758,1995,2873,2190,
23,11,21,2,2713,2105,1085,1553,228,255,
18,11,23,2,2200,3140,3494,3529,1442,1122,
49,11,25,2,2688,2206,6103,1529,769,1021,
33,11,27,2,3170,1446,204,520,260,261,
24,11,29,2,,244,190,134,101,1313,
30,11,31,2,,235,1723,1343,866,1606,
62,12,2,1,2235,1927,1832,1385,1078,1472,
9,12,4,1,2843,2320,1842,1405,1336,2560,
18,12,6,1,2532,1730,1066,1073,1263,271,
53,12,8,1,1623,1794,1514,810,1739,190,
32,12,10,1,1142,1196,702,1352,1214,983,
69,12,12,1,2338,3132,479,357,1130,744,
11,12,14,1,1747,1833,1117,848,922,1802,
14,12,16,1,,138,164,1769,837,1094,
68,12,18,1,1400,1829,2164,1028,950,1210,
70,12,20,1,2487,2136,,120,1163,2158,
51,12,22,1,1355,1391,277,1590,1382,1068,
26,12,24,1,1590,1625,960,1112,,507,
42,12,26,1,3383,2313,,196,605,221,
39,12,28,1,1643,1080,1245,921,,159,
40,12,30,1,2139,3128,2270,982,895,1687,
41,12,32,1,1816,2110,1178,1100,491,,432
24,12,1,2,2604,1774,1061,1987,,370,179
28,12,3,2,3560,1696,1228,1351,,155,
30,12,5,2,4647,2170,,672,511,468,
36,12,7,2,1458,549,414,259,304,2126,
60,12,9,2,1180,1856,1107,168,160,856,
7,12,11,2,2563,2097,255,,177,159,
38,12,13,2,1943,,610,273,1243,1026,
64,12,15,2,3564,1121,928,631,177,166,
20,12,17,2,1199,226,2148,1462,277,1863,
49,12,19,2,3067,2404,187,683,1221,206,
6,12,21,2,2204,1756,1204,1265,1182,1839,
48,12,23,2,1729,1536,1527,834,917,1636,
8,12,25,2,1857,1933,1382,1973,,272,
67,12,27,2,1501,1713,353,473,220,244,
23,12,29,2,3531,326,182,,269,1313,502
55,12,31,2,1406,2245,1756,959,576,,
56,13,2,1,1751,1617,291,148,1648,1039,
53,13,4,1,2045,256,2395,1531,1689,1320,
43,13,6,1,2004,1475,185,2243,1589,1950,
48,13,8,1,1516,1479,1292,1060,1467,2368,
45,13,10,1,2092,1172,1391,1468,1313,1998,
29,13,12,1,1846,2571,395,497,143,155,
35,13,14,1,1589,1021,2826,503,1358,891,
17,13,16,1,1712,2438,410,1058,937,934,
51,13,18,1,1477,2074,479,87,1064,2542,
55,13,20,1,2462,2210,2036,1723,778,1367,
37,13,22,1,2388,1752,2008,1788,503,1406,
7,13,24,1,1852,1220,1111,1385,,604,
8,13,26,1,2988,1693,1629,1218,1309,882,
15,13,28,1,2411,1160,1715,326,197,155,
26,13,30,1,2523,3261,1471,252,488,1068,
28,13,32,1,1347,1230,1706,1111,905,613,
64,13,1,2,2487,1831,1102,2064,,102,
22,13,3,2,2223,1655,1706,1555,,177,
60,13,5,2,2364,1519,1131,1219,668,1450,
30,13,7,2,1946,1156,167,1635,1595,955,
18,13,9,2,1718,1919,1542,90,136,129,
58,13,11,2,1378,2117,328,1561,170,223,
50,13,13,2,3609,1629,2515,2447,1940,1378,
47,13,15,2,3703,1291,702,964,1387,176,
38,13,17,2,2997,1510,1930,1422,1216,1476,
9,13,19,2,1753,2086,201,1203,1227,1629,
14,13,21,2,3023,1190,1605,1789,1373,1726,
5,13,23,2,,248,1274,1174,1331,1511,
59,13,25,2,1576,1635,1107,2189,864,1362,
6,13,27,2,2282,1465,1862,1499,140,505,
12,13,29,2,2049,4286,1780,449,1766,1773,
36,13,31,2,2719,1512,3208,274,995,1061,
39,14,2,1,881,339,807,199,1426,182,
66,14,4,1,1334,887,229,273,893,318,
37,14,6,1,2136,2885,360,1781,2021,1827,
50,14,8,1,5314,2463,2163,3569,322,469,
60,14,10,1,1871,377,409,992,614,367,208
7,14,12,1,3004,1057,531,3492,2215,1251,
63,14,14,1,6975,2321,1770,682,134,,394
35,14,16,1,3367,2807,223,1751,1052,3739,
53,14,18,1,1179,1849,278,,369,1464,
23,14,20,1,7188,4142,555,1394,,124,
29,14,22,1,2123,207,196,1316,1078,,
36,14,24,1,514,1169,864,427,417,160,
30,14,26,1,3134,167,3950,3334,770,2308,
34,14,28,1,5457,3052,3166,284,186,268,
46,14,30,1,5044,171,308,5319,2384,4463,
45,14,32,1,1115,309,157,317,1297,1002,
26,14,1,2,4658,2863,189,182,,344,
16,14,3,2,5358,142,1050,3794,,443,
54,14,5,2,730,180,297,300,588,2583,
11,14,7,2,4907,2333,409,880,297,1650,
5,14,9,2,3588,3578,1058,200,302,720,
44,14,11,2,1301,761,411,341,581,151,
33,14,13,2,2117,584,1109,187,543,83,207
48,14,15,2,588,113,274,3484,1770,269,
59,14,17,2,3881,149,140,2638,740,556,
51,14,19,2,620,1139,168,1546,1416,3767,
15,14,21,2,3972,,175,1019,1766,1555,
55,14,23,2,6597,2510,,706,168,207,281
14,14,25,2,3094,386,1898,2035,1174,1754,
18,14,27,2,2203,246,606,1550,499,671,
13,14,29,2,5425,2024,4966,2496,1230,1984,
49,14,31,2,,1125,952,3777,111,,370
22,15,2,1,2299,574,1850,1434,,235,
59,15,4,1,2438,2724,2142,1305,154,1334,
52,15,6,1,1738,1812,2351,2311,1349,1852,
13,15,8,1,1447,2195,2204,1020,1546,2286,
54,15,10,1,1420,1255,1267,1426,167,1363,
21,15,12,1,1180,2117,4693,1535,,176,
20,15,14,1,1333,1089,1349,1174,1035,984,
62,15,16,1,1172,197,2118,1209,883,1569,
8,15,18,1,2060,2133,2160,857,1220,2425,
11,15,20,1,2171,1643,1532,1272,1635,1758,
19,15,22,1,1418,1735,1624,1582,1251,1828,
58,15,24,1,1121,467,140,1369,,494,
65,15,26,1,2269,1508,2483,1097,1135,1099,
39,15,28,1,3006,2235,181,104,,143,
5,15,30,1,3281,3416,2295,2170,1419,3411,
49,15,32,1,1491,2091,410,2856,1017,947,
63,15,1,2,2304,2383,1109,1272,1255,2375,
56,15,3,2,1852,1340,2542,1815,,183,
25,15,5,2,4957,2265,416,950,1618,1255,
47,15,7,2,2438,1043,1617,1192,1000,2022,
50,15,9,2,1281,1837,1006,1144,233,95,
66,15,11,2,1568,,711,1102,191,388,
67,15,13,2,3207,,168,2499,,161,
