seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
53,12,8,1,1623,2464,1514,810,1739,3453,
32,12,10,1,1142,1196,702,1352,1214,983,
69,12,12,1,2338,3132,1840,3026,1130,842,
11,12,14,1,1747,2149,1117,848,922,2433,
14,12,16,1,,3623,3997,1769,837,2479,
68,12,18,1,1400,1829,2164,1028,950,1639,
70,12,20,1,2487,2136,,2753,1163,2158,
51,12,22,1,1355,1391,2363,1590,2320,1402,
26,12,24,1,1590,1625,960,1112,,2666,
42,12,26,1,3383,2313,,2816,605,1227,
39,12,28,1,1643,1080,1245,921,,2870,
40,12,30,1,2139,3128,2270,982,895,1773,
41,12,32,1,1816,2110,1178,1100,491,,1605
24,12,1,2,2604,1774,1061,1987,,1410,1903
28,12,3,2,3560,1696,1228,1351,,3181,
30,12,5,2,4647,3084,,1779,1750,2189,
36,12,7,2,1458,549,1299,2506,304,2766,
60,12,9,2,1180,1856,1107,1079,1096,856,
7,12,11,2,2563,2097,2896,,824,3498,
38,12,13,2,1943,,2354,2300,1243,1170,
64,12,15,2,3564,1121,928,631,1312,1283,
20,12,17,2,1199,4495,2148,1462,1495,1863,
49,12,19,2,3067,2404,3901,683,1221,1992,
6,12,21,2,2204,3960,1204,1265,1182,2221,
48,12,23,2,1729,2414,1527,834,917,1831,
8,12,25,2,1857,1933,1382,1973,,3482,
67,12,27,2,1501,1713,2674,473,404,2005,
23,12,29,2,3531,2052,2187,,2484,1313,2998
55,12,31,2,1406,2245,1756,959,2725,,
56,13,2,1,1751,2012,1775,1666,1648,5360,
53,13,4,1,2045,2029,2395,1531,1689,3753,
43,13,6,1,2004,1475,1544,2243,1692,1950,
48,13,8,1,1516,1479,1292,1060,1467,2368,
45,13,10,1,2092,1172,1391,1468,1313,3180,
29,13,12,1,1846,2571,1927,1425,518,3767,
35,13,14,1,1589,1021,2826,503,1901,5746,
17,13,16,1,1712,2438,2474,1609,937,3083,
51,13,18,1,1477,2074,1940,2106,1064,2542,
55,13,20,1,2462,2210,2036,1723,778,3394,
37,13,22,1,2388,1752,2008,1788,2230,5673,
7,13,24,1,1852,1220,1111,1385,,3281,
8,13,26,1,2988,1693,3096,1218,1309,1232,
15,13,28,1,2411,1160,1715,1758,197,4547,
26,13,30,1,2523,3261,1471,1583,1213,1730,
28,13,32,1,1347,1230,1706,1424,905,2969,
64,13,1,2,2487,1831,1102,2064,,8464,
22,13,3,2,2223,1655,1706,1555,,6652,
60,13,5,2,2364,1519,1131,1219,776,3158,
30,13,7,2,1946,1156,1973,1635,1595,5767,
18,13,9,2,1718,1919,1542,1653,136,6544,
58,13,11,2,1378,2117,1854,1561,170,2661,
50,13,13,2,3609,1629,2618,2447,1940,4615,
47,13,15,2,3703,1291,2592,964,1387,2367,
38,13,17,2,2997,1510,1930,1422,1216,2711,
9,13,19,2,1753,2086,2119,1203,1227,1629,
14,13,21,2,3023,1190,1605,1789,1373,1726,
5,13,23,2,,3614,1274,1174,1331,1511,
