seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
36,10,3,2,1,0,0,0,1,0,
44,10,5,2,0,0,1,1,1,0,
47,10,7,2,1,1,1,1,1,0,
11,10,9,2,1,1,1,0,0,0,
8,10,11,2,0,1,0,1,1,0,
34,10,13,2,1,1,1,1,0,0,
66,10,15,2,0,1,0,1,0,1,
29,10,17,2,0,1,1,1,0,0,
39,10,19,2,1,0,0,0,0,0,
16,10,21,2,1,1,0,1,0,0,
27,10,23,2,1,1,1,0,1,0,
58,10,25,2,1,0,0,1,0,0,
65,10,27,2,0,1,0,0,0,0,
7,10,29,2,0,1,0,1,0,0,
23,10,31,2,1,0,0,0,0,0,
34,11,2,1,0,1,0,1,0,0,
26,11,4,1,1,1,0,1,0,0,
54,11,6,1,0,1,0,0,1,0,
31,11,8,1,0,0,0,0,1,0,
38,11,10,1,1,0,0,0,0,0,
25,11,12,1,1,0,1,1,1,0,
50,11,14,1,1,0,0,1,0,0,
63,11,16,1,0,0,0,0,0,0,
21,11,18,1,1,0,0,0,0,0,
10,11,20,1,1,0,1,0,0,0,
57,11,22,1,1,1,1,1,0,0,
65,11,24,1,0,0,1,1,0,0,
56,11,26,1,1,0,1,0,0,0,
47,11,28,1,0,0,0,1,0,0,
60,11,30,1,0,0,0,0,0,0,
17,11,32,1,1,1,1,0,0,0,
13,11,1,2,1,1,0,0,1,0,
11,11,3,2,1,0,0,1,0,0,
19,11,5,2,0,1,0,0,0,0,
36,11,7,2,1,0,1,1,0,0,
43,11,9,2,1,1,1,1,0,0,
52,11,11,2,1,0,0,1,1,0,
68,11,13,2,1,0,0,0,0,0,
53,11,15,2,0,0,0,1,1,1,
22,11,17,2,1,1,0,0,0,0,
59,11,19,2,0,0,0,0,1,0,
23,11,21,2,0,0,1,1,0,0,
18,11,23,2,1,0,0,0,0,0,
49,11,25,2,1,0,0,0,0,0,
33,11,27,2,1,1,0,0,0,0,
24,11,29,2,1,1,1,1,1,0,
30,11,31,2,1,1,0,0,1,0,
62,12,2,1,0,0,0,0,1,0,
9,12,4,1,1,0,0,0,0,0,
18,12,6,1,0,0,0,1,0,0,
53,12,8,1,1,0,0,0,1,1,
32,12,10,1,0,0,0,0,0,0,
69,12,12,1,1,1,1,0,0,0,
11,12,14,1,1,1,0,0,1,0,
14,12,16,1,1,1,0,0,0,0,
68,12,18,1,0,0,0,0,1,0,
70,12,20,1,0,0,1,0,0,0,
51,12,22,1,0,1,0,0,0,0,
26,12,24,1,0,1,0,0,1,0,
42,12,26,1,1,0,0,0,1,0,
39,12,28,1,1,0,0,0,1,0,
40,12,30,1,1,0,0,0,0,0,
41,12,32,1,0,1,0,0,1,1,0
24,12,1,2,1,0,0,1,0,1,0
28,12,3,2,0,1,0,1,0,0,
30,12,5,2,1,0,1,1,1,0,
36,12,7,2,1,1,1,0,1,0,
60,12,9,2,0,0,1,1,0,0,
7,12,11,2,1,1,1,1,1,0,
38,12,13,2,0,1,1,1,0,0,
64,12,15,2,1,0,0,1,1,1,
20,12,17,2,1,0,0,1,0,0,
49,12,19,2,1,1,1,0,1,0,
6,12,21,2,1,0,0,0,0,0,
48,12,23,2,1,1,0,0,0,0,
8,12,25,2,1,0,1,0,1,0,
67,12,27,2,0,1,0,1,1,0,
23,12,29,2,1,1,0,1,1,1,0
55,12,31,2,0,0,0,1,0,0,
56,13,2,1,1,1,1,0,1,0,
53,13,4,1,1,0,0,0,0,0,
43,13,6,1,0,0,0,0,0,0,
48,13,8,1,0,0,0,0,0,0,
45,13,10,1,0,1,0,1,0,0,
29,13,12,1,1,1,1,0,1,0,
35,13,14,1,1,1,1,1,0,0,
17,13,16,1,1,1,1,0,0,0,
51,13,18,1,0,1,1,0,0,0,
55,13,20,1,1,0,0,0,0,0,
37,13,22,1,1,0,0,1,0,0,
7,13,24,1,1,0,0,0,1,0,
8,13,26,1,1,0,0,0,1,0,
15,13,28,1,1,0,1,0,1,0,
26,13,30,1,0,0,1,1,1,0,
28,13,32,1,1,0,1,0,0,0,
64,13,1,2,1,0,1,1,1,0,
22,13,3,2,1,0,0,1,0,0,
60,13,5,2,1,0,0,0,0,0,
30,13,7,2,1,0,0,0,1,0,
18,13,9,2,1,0,1,1,1,0,
58,13,11,2,0,1,0,1,1,0,
50,13,13,2,1,0,0,0,0,0,
47,13,15,2,0,1,0,1,1,0,
38,13,17,2,1,0,0,0,0,0,
9,13,19,2,0,1,0,0,0,0,
14,13,21,2,0,0,0,0,0,0,
5,13,23,2,1,0,0,0,0,0,
59,13,25,2,1,0,1,0,0,0,
6,13,27,2,1,0,0,0,1,0,
12,13,29,2,1,0,0,1,0,0,
36,13,31,2,1,0,0,0,0,0,
39,14,2,1,1,1,1,1,1,0,
66,14,4,1,1,1,1,0,1,0,
37,14,6,1,0,1,0,0,0,0,
50,14,8,1,1,0,0,1,1,1,
60,14,10,1,1,1,1,0,1,1,0
7,14,12,1,1,1,0,0,0,0,
63,14,14,1,0,0,1,1,1,0,0
35,14,16,1,1,1,1,0,0,0,
53,14,18,1,1,1,0,1,0,0,
23,14,20,1,1,1,0,1,0,0,
29,14,22,1,1,1,1,1,0,1,
36,14,24,1,1,1,1,1,1,0,
30,14,26,1,1,0,0,0,1,0,
34,14,28,1,1,0,1,0,1,0,
46,14,30,1,1,1,0,0,0,0,
45,14,32,1,1,1,0,0,0,0,
26,14,1,2,0,1,1,0,1,0,
16,14,3,2,1,1,1,0,1,0,
54,14,5,2,1,1,1,1,0,0,
11,14,7,2,1,1,0,1,0,0,
5,14,9,2,1,1,1,1,1,0,
44,14,11,2,1,1,1,0,1,1,
33,14,13,2,1,1,1,1,1,0,0
48,14,15,2,1,1,1,0,0,1,
59,14,17,2,1,1,0,0,1,0,
51,14,19,2,1,1,0,0,0,0,
